disease,cell_type,n_cells,TNIP1_mean,TNIP1_pct,HLA-C_mean,HLA-C_pct,HLA-B_mean,HLA-B_pct,TYK2_mean,TYK2_pct,IL12B_mean,IL12B_pct
normal,fibroblast,99472,0.2222,16.9,0.4058,22.1,0.4931,16.6,0.1064,9.9,0.0001,0.0
normal,skin fibroblast,29289,0.2109,14.5,0.0435,1.7,0.0661,1.8,0.0511,4.7,0.0001,0.0
normal,macrophage,22117,0.7691,28.7,2.4798,71.1,5.3807,85.8,0.1479,13.1,0.0002,0.0
normal,vascular associated smooth muscle cell,9414,0.1878,16.7,1.0728,54.8,1.034,48.8,0.0718,6.8,0.0,0.0
normal,keratinocyte,7095,0.3064,23.5,1.8569,68.0,5.0655,81.1,0.0847,7.6,0.0,0.0
normal,monocyte,6015,0.521,33.9,6.6755,91.9,11.7624,97.3,0.2191,18.7,0.0012,0.1
normal,skeletal muscle satellite cell,5768,0.1786,15.4,0.0934,6.9,0.0546,4.1,0.0577,5.5,0.0,0.0
normal,myofibroblast cell,5228,0.154,13.5,0.0889,7.1,0.1783,13.2,0.115,10.7,0.0,0.0
normal,endothelial cell,5225,1.6938,53.7,7.1992,65.9,15.3043,67.0,0.257,19.2,0.0004,0.0
normal,natural killer cell,5101,0.4185,31.4,7.2954,97.7,13.1125,98.8,0.0829,7.7,0.0,0.0
normal,glial cell,4380,0.1532,13.7,0.6525,33.4,0.5639,30.2,0.0886,8.5,0.0,0.0
normal,stromal cell,4129,0.0608,5.7,0.0153,1.2,0.0465,3.9,0.0191,1.8,0.0,0.0
normal,dendritic cell,3964,0.4775,32.2,8.5898,90.1,14.4309,94.6,0.308,24.1,0.002,0.1
normal,T cell,3561,0.3881,28.1,6.6077,92.9,12.9093,98.2,0.0705,6.5,0.0,0.0
normal,"naive thymus-derived CD4-positive, alpha-beta T cell",3378,0.2605,22.1,6.333,96.7,12.4023,99.5,0.0622,5.8,0.0,0.0
normal,unknown,2368,0.4227,29.0,4.3117,60.6,8.451,62.5,0.1546,13.5,0.0,0.0
normal,spinous cell of epidermis,2343,0.4038,27.2,0.0,0.0,0.0,0.0,0.2578,19.0,0.0009,0.1
normal,mast cell,2294,0.3304,20.5,1.1138,50.5,1.3954,58.1,0.068,6.1,0.0,0.0
normal,pericyte,1734,0.3397,23.6,0.1684,7.4,0.278,8.0,0.1015,8.4,0.0,0.0
normal,group 3 innate lymphoid cell,1724,0.6439,43.2,2.8724,81.1,3.8538,76.7,0.1711,14.0,0.0006,0.1
normal,suprabasal keratinocyte,1593,0.3942,24.4,0.0,0.0,0.0,0.0,0.2323,18.2,0.0006,0.1
normal,mesenchymal stem cell,1588,0.0088,0.9,0.0113,1.1,0.0157,1.5,0.0088,0.9,0.0,0.0
normal,"naive thymus-derived CD8-positive, alpha-beta T cell",1405,0.395,31.5,8.2413,98.0,15.5174,99.6,0.0868,8.3,0.0,0.0
normal,eurydendroid cell,1244,0.3006,24.4,2.0233,72.6,2.3376,68.8,0.1342,12.0,0.0032,0.2
normal,regulatory T cell,1243,0.7023,41.9,8.6114,93.0,16.6533,94.5,0.0981,9.3,0.0,0.0
normal,melanocyte,1044,0.3784,28.5,0.5469,28.0,0.5843,15.7,0.1216,11.5,0.0,0.0
